SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
afternoon,['2'],['2'],['4'],1.19395135767,1.15545244913,1.16079100413
afternoon,['2'],['2'],['5'],1.24764961455,1.21910486647,1.22393434478
afternoon,['2'],['2'],['2'],1.58349415371,1.49139640298,1.52405870181
afternoon,['2'],['2'],['7'],1.24169545216,1.20578110392,1.21622605922
afternoon,['2'],['2'],['3'],1.69190600522,1.61809760075,1.64875992577
afternoon,['2'],['2'],['9'],1.50322083556,1.51040310111,1.50697791167
afternoon,['2'],['2'],['11'],1.80236122148,1.75066530194,1.77232833052
afternoon,['2'],['2'],['6'],1.48260437107,1.47325534922,1.47203996362
afternoon,['2'],['2'],['10'],1.97525258259,1.98305015353,1.97978260352
afternoon,['2'],['2'],['8'],0.872679401952,0.832043583479,0.829247978645
morning,['1'],['1'],['1'],1.92060952381,1.90299633542,1.91029323569
morning,['1'],['1'],['4'],1.74415238095,1.71168355249,1.72513493892
morning,['1'],['1'],['5'],1.99024761905,1.9876050873,1.98869985165
